id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
P62874,Gnb1,-0.5233333333333334,0.3997332870794293,3,3,0.6090691493072347,0.2153333979127167
P49312,Hnrnpa1,0.4266666666666694,0.4007522822080778,3,3,0.6097794352384287,0.2148272262695422
Q9R1P1,Psmb3,0.4966666666666661,0.4017949574886708,3,3,0.6100662339559577,0.2146230117432619
P97807,Fh,0.2699999999999996,0.4018764531964475,3,3,0.6100662339559577,0.2146230117432619
Q8K3J1,Ndufs8,0.75,0.4024065885486866,3,3,0.6101606877528922,0.2145557770967292
Q9JIW9,Ralb,1.0366666666666653,0.4055003878964965,3,3,0.6141376374181551,0.2117342860698203
Q91ZW3,Smarca5,0.5166666666666693,0.4076135380689245,3,3,0.6166218719743358,0.2099810746317377
P70290,Mpp1,-0.4216666666666704,0.4084453660687219,2,3,0.6171642611281732,0.2095992310927152
P97384,Anxa11,0.3233333333333306,0.4111189604564544,3,3,0.6204850977259452,0.2072686445489876
P08226,Apoe,-0.2033333333333367,0.4127782359834591,3,3,0.6209001515043918,0.2069782341828244
P22892,Ap1g1,0.8550000000000022,0.412172975609186,3,2,0.6209001515043918,0.2069782341828244
Q8CIB5,Fermt2,-0.2866666666666617,0.413158882764962,3,3,0.6209001515043918,0.2069782341828244
Q99L13,Hibadh,0.3433333333333301,0.4132985671056841,3,3,0.6209001515043918,0.2069782341828244
P24549,Aldh1a1,-0.2900000000000027,0.4146878911664888,3,3,0.6222704373775619,0.2060208308470631
P24668,M6pr,0.6333333333333364,0.4151971002224975,3,3,0.6223184122875136,0.2059873495272236
Q99MN9,Pccb,-0.4000000000000021,0.4166259161104578,3,3,0.6237430477704213,0.2049942819806089
P97370,Atp1b3,-0.273333333333337,0.4189448957875654,3,3,0.626495578104341,0.2030819899717649
Q8BFY6,Pef1,-0.5266666666666673,0.4195351356933589,3,3,0.6266595841284537,0.2029683138463747
P58871,Tnks1bp1,-0.356666666666662,0.4207839392949267,3,3,0.6278057858587923,0.2021746861591243
Q5SSZ5,Tns3,0.4333333333333335,0.4241198603898288,3,3,0.6298027466816037,0.2007954496599974
P61979,Hnrnpk,0.2300000000000004,0.4229487513144662,3,3,0.6298027466816037,0.2007954496599974
Q9CU62,Smc1a,0.3066666666666719,0.4244994254531662,3,3,0.6298027466816037,0.2007954496599974
P35293,Rab18,0.4350000000000023,0.4237159842620534,2,2,0.6298027466816037,0.2007954496599974
P31001,Des,0.2233333333333327,0.4245372809303141,3,3,0.6298027466816037,0.2007954496599974
Q06890,Clu,-0.1849999999999987,0.4267253823094202,3,2,0.6317493747229037,0.1994551792529656
Q64514,Tpp2,-0.4200000000000017,0.426818404241471,3,3,0.6317493747229037,0.1994551792529656
Q9CR57,Rpl14,0.3066666666666684,0.4286379094575656,3,3,0.6330054744424297,0.1985925340429009
Q7TMK9,Syncrip,0.2666666666666692,0.4286027236345175,3,3,0.6330054744424297,0.1985925340429009
P51885,Lum,-0.3966666666666683,0.4295110523478582,3,3,0.6335773894362072,0.1982003298691678
P70372,Elavl1,-0.4633333333333382,0.4314865741802257,3,3,0.6357723081706377,0.1966983922290383
Q9WTY4,Aqp5,-2.113333333333337,0.4337571544273372,2,3,0.6371766347337167,0.1957401581569473
A2ASQ1,Agrn,-0.3266666666666644,0.4339055610763346,3,3,0.6371766347337167,0.1957401581569473
Q91YR9,Ptgr1,0.4649999999999998,0.4337462045432351,2,2,0.6371766347337167,0.1957401581569473
Q04857,Col6a1,0.5566666666666684,0.4351799091024239,3,3,0.638329135511317,0.1949553324415466
Q61554,Fbn1,0.6999999999999993,0.4383276036674645,3,3,0.639007034350105,0.1944943609924303
P84091,Ap2m1,-0.3066666666666648,0.438455891763943,3,3,0.639007034350105,0.1944943609924303
P05202,Got2,0.1666666666666643,0.4385822820117668,3,3,0.639007034350105,0.1944943609924303
P56528,Cd38,0.1533333333333288,0.4374344971255354,3,3,0.639007034350105,0.1944943609924303
Q8VCP9,Clec14a,-1.153333333333336,0.4363120037792178,2,3,0.639007034350105,0.1944943609924303
Q8VD75,Hip1,-0.2300000000000039,0.4382238840902491,3,3,0.639007034350105,0.1944943609924303
Q02013,Aqp1,-0.509999999999998,0.4392702118671028,3,3,0.6392950404851586,0.1942986647172121
Q8BHL4,Gprc5a,-0.2733333333333334,0.4424237240442994,3,3,0.643166706971869,0.1916764445963987
P62141,Ppp1cb,1.115000000000002,0.4430911446476159,2,3,0.6432811485282411,0.1915991754924059
Q3UHX2,Pdap1,0.5366666666666653,0.4434890740236877,3,2,0.6432811485282411,0.1915991754924059
Q6PB66,Lrpprc,-0.8099999999999987,0.4440685109078,3,3,0.6434059313597458,0.1915149397894511
P70336,Rock2,-0.860000000000003,0.4447645100094569,3,3,0.6436991354631874,0.1913170741611026
Q9WVH9,Fbln5,-0.5766666666666609,0.446498614481954,3,3,0.6454924537521818,0.190108830567109
Q9CQD1,Rab5a,-0.8266666666666609,0.4472727816791491,3,3,0.6458955784159585,0.189837688480729
O08709,Prdx6,-0.226666666666663,0.4479080153537843,3,3,0.6460974026784676,0.1897020048268432
Q9ES28,Arhgef7,1.0749999999999993,0.4488694324374083,2,2,0.6467687733683762,0.1892509564236141
O08573,Lgals9,0.5466666666666704,0.4502445840792809,2,3,0.648034147504837,0.18840210881739
Q76MZ3,Ppp2r1a,0.1700000000000017,0.4522305000090266,3,3,0.6501748313249953,0.1869698463259489
Q8JZR0,Acsl5,0.1433333333333308,0.4527527601470321,3,3,0.6502088097265748,0.1869471505124253
P21278,Gna11,-0.5599999999999987,0.4576542146156309,3,3,0.656524857930454,0.182748825617689
P62960,Ybx1,0.6633333333333322,0.4585736759194432,3,3,0.6571209597790703,0.1823546801672403
P28656,Nap1l1,0.3199999999999967,0.4591247503165858,3,3,0.6571884461172645,0.1823100804037815
Q9R112,Sqrdl,0.129999999999999,0.4605972388002321,3,3,0.6585732449512092,0.1813959168158461
Q5XJY5,Arcn1,0.5766666666666644,0.4611080017764018,3,3,0.6585814176521664,0.1813905273820479
Q8QZT1,Acat1,-0.2799999999999976,0.4617941152372457,3,3,0.6588397442772083,0.1812202100492704
P67778,Phb,-0.1900000000000048,0.4629891047472756,3,3,0.6598227241425656,0.180572731531236
Q60854,Serpinb6,-0.1600000000000001,0.4638439577488108,3,3,0.660319345965556,0.1802459786273248
P02469,Lamb1,-0.2733333333333334,0.4651307820757331,3,3,0.6607086490487538,0.1799900079948276
P00493,Hprt1,1.139999999999997,0.465060634001236,3,2,0.6607086490487538,0.1799900079948276
P08249,Mdh2,-0.0500000000000007,0.4658139941245858,3,3,0.6609591385619804,0.1798253883896723
Q8C1B7,Sept11,-0.2433333333333287,0.4686710092536602,3,3,0.6642902131160575,0.1776421459040793
P35283,Rab12,-0.1900000000000012,0.4712664560662958,2,3,0.6665971394819583,0.1761365543266534
Q8CHU3,Epn2,-0.6283333333333339,0.4727219354867186,2,3,0.6665971394819583,0.1761365543266534
Q62417,Sorbs1,-0.6400000000000006,0.4715047494728485,3,3,0.6665971394819583,0.1761365543266534
Q91VM9,Ppa2,0.4399999999999995,0.4728545659668799,2,2,0.6665971394819583,0.1761365543266534
P34022,Ranbp1,0.8100000000000023,0.4724756103621335,3,2,0.6665971394819583,0.1761365543266534
A2ARA8,Itga8,-0.7733333333333334,0.4741845180059728,2,3,0.6670734184635645,0.1758263647657922
P26443,Glud1,0.1766666666666694,0.4742155359783162,3,3,0.6670734184635645,0.1758263647657922
P58021,Tm9sf2,1.56666666666667,0.4751069729747449,2,3,0.6672027308131212,0.1757421848303857
Q78IQ7,Slc39a4,0.4566666666666652,0.4753307798507588,2,3,0.6672027308131212,0.1757421848303857
Q9D051,Pdhb,-0.3900000000000005,0.4761225513137084,3,3,0.6675954913043826,0.1754866050488714
Q6A0A9,FAM120A,0.6350000000000016,0.4778768283233382,2,2,0.6680547834232481,0.175187922011191
Q8K442,Abca8a,-1.1766666666666623,0.4779870497959282,2,3,0.6680547834232481,0.175187922011191
P46412,Gpx3,0.4700000000000059,0.4774910430575131,3,3,0.6680547834232481,0.175187922011191
Q9QY76,Vapb,0.543333333333333,0.4801814837072187,3,3,0.6704032706147893,0.1736638756330146
Q9D1J3,Sarnp,0.2366666666666681,0.4816886932799389,3,3,0.6708298473733871,0.1733876224804057
Q8BMA6,Srp68,0.6533333333333342,0.481682303274304,3,3,0.6708298473733871,0.1733876224804057
Q6PDN3,Mylk,-0.3366666666666624,0.4820303427828709,3,3,0.6708298473733871,0.1733876224804057
P11276,Fn1,0.3633333333333333,0.482777171972611,3,3,0.6711529128489178,0.1731785206049038
Q7TNC4,Luc7l2,-0.8550000000000022,0.4842719604772557,3,2,0.6717985494280228,0.1727609382378577
Q8BH43,Wasf2,0.4466666666666654,0.4838360089729318,3,3,0.6717985494280228,0.1727609382378577
Q9JJ28,Flii,-0.2266666666666665,0.4855978419311793,3,3,0.6729219828674365,0.1720352840289463
Q3UM45,Ppp1r7,0.6183333333333341,0.4899255524285741,2,3,0.6781984292641834,0.1686432204008809
P35550,Fbl,0.6466666666666683,0.4907346841781583,3,3,0.6785981210692666,0.1683873471818811
Q8CHT0,Aldh4a1,0.3699999999999974,0.491426629348366,3,3,0.6788350896930819,0.1682357166398601
Q04447,Ckb,0.2666666666666657,0.4922365303091946,3,3,0.6792343233049627,0.1679803762898525
Q6ZWU9,Rps27,0.25,0.4937250467995556,3,3,0.6805681406201062,0.167128385355901
Q9CXR1,Dhrs7,-0.519999999999996,0.494893738486596,2,2,0.6814587486658091,0.1665604285586374
Q8C8U0,Ppfibp1,-0.6883333333333326,0.4979337968811601,2,3,0.6849215940221864,0.1643591412556593
Q9JIF0,Prmt1,0.3500000000000032,0.5008525725232363,3,2,0.6882104895366703,0.1622787122539201
Q7TPR4,Actn1,0.5566666666666649,0.5025505243837008,3,3,0.6894765142158015,0.1614805227008895
P56391,Cox6b1,-0.4533333333333296,0.5064516170230614,3,3,0.6894765142158015,0.1614805227008895
P14131,Rps16,0.5700000000000038,0.5067355161650153,3,3,0.6894765142158015,0.1614805227008895
P51660,Hsd17b4,0.3900000000000041,0.5056069448763727,3,3,0.6894765142158015,0.1614805227008895
Q9D1R9,Rpl34,0.3433333333333301,0.5068895530269312,2,3,0.6894765142158015,0.1614805227008895
Q64105,Spr,-0.3599999999999994,0.5036869942083514,3,3,0.6894765142158015,0.1614805227008895
Q9JKV1,Adrm1,0.2966666666666668,0.5046008043931457,3,2,0.6894765142158015,0.1614805227008895
Q791V5,Mtch2,0.8950000000000031,0.507061332157173,2,2,0.6894765142158015,0.1614805227008895
Q60996,Ppp2r5c,0.5650000000000013,0.5067775196131807,2,2,0.6894765142158015,0.1614805227008895
P14685,Psmd3,0.3299999999999983,0.5056256228297069,3,2,0.6894765142158015,0.1614805227008895
Q9EP69,Sacm1l,0.4866666666666646,0.5095335488606407,3,3,0.6904889617577592,0.1608432597153461
P61027,Rab10,-0.2466666666666661,0.5099239801938054,3,3,0.6904889617577592,0.1608432597153461
Q3UQN2,Fcho2,1.0950000000000006,0.509055412877931,2,2,0.6904889617577592,0.1608432597153461
Q9ES97,Rtn3,-0.4299999999999961,0.5093042380864256,3,3,0.6904889617577592,0.1608432597153461
P97823,Lypla1,0.7149999999999999,0.5105981153790993,3,2,0.6906845876082421,0.1607202350194424
Q921U8,Smtn,0.745000000000001,0.5128572846614916,2,2,0.6930216572006063,0.1592531933019727
Q9CY58,Serbp1,-0.8000000000000007,0.5138471449409822,3,3,0.6933391068966985,0.1590543032911261
Q4ACU6,Shank3,-0.3966666666666683,0.5146873124815983,2,3,0.6933391068966985,0.1590543032911261
P58771,Tpm1,0.2366666666666645,0.5144197521283203,3,3,0.6933391068966985,0.1590543032911261
P35282,Rab21,-0.370000000000001,0.5154653996337764,3,3,0.6936706719529869,0.1588466668645101
P51410,Rpl9,0.3666666666666707,0.5194165682850163,3,3,0.6982672216944961,0.1559783442848086
Q3UZ39,Lrrfip1,0.4433333333333316,0.5204994079812445,3,3,0.6990022945494777,0.1555213986340882
P11672,Lcn2,0.370000000000001,0.5289537323884228,3,2,0.7096251718461968,0.1489709875957067
Q8BI08,Mal2,-0.4100000000000001,0.5296208552731836,3,3,0.7097899232027044,0.1488701705682026
P53986,Slc16a1,0.4700000000000024,0.5320084012352313,2,2,0.7118256279305241,0.1476263801022652
Q9D855,Uqcrb,-0.4083333333333314,0.5322315853008136,3,2,0.7118256279305241,0.1476263801022652
Q9QUI0,Rhoa,0.1099999999999994,0.5345271486307079,3,3,0.7138804947147107,0.1463744840639504
Q8K2C9,ptplad1,0.4833333333333343,0.5348629166689205,3,3,0.7138804947147107,0.1463744840639504
Q9DAR7,Dcps,0.5466666666666651,0.5358619977258889,3,3,0.7144826636345186,0.146008304562595
O55071,Cyp2b19,-1.0166666666666655,0.5369890461981635,2,3,0.7152540513201279,0.1455396735982076
P62331,Arf6,0.4983333333333348,0.5377269337224192,3,2,0.7155060424224843,0.1453866942876267
Q9JHU4,Dync1h1,-0.0899999999999998,0.5405262497944288,3,3,0.7177660180569604,0.1440171067713727
Q9QXS1,Plec,-0.096666666666664,0.5400096602308192,3,3,0.7177660180569604,0.1440171067713727
Q9EP71,Rai14,-0.1766666666666658,0.5422960497971372,3,3,0.7193835696189897,0.1430394854851124
Q78IK4,Apool,0.3566666666666691,0.5431632150914436,3,3,0.7196058564345609,0.1429053108533571
O35841,Api5,0.3233333333333377,0.543567307199419,3,3,0.7196058564345609,0.1429053108533571
Q80WQ2,Vac14,0.2249999999999996,0.5446997764016717,2,2,0.7196438788528672,0.14288236427771
P10922,H1f0,-0.2466666666666661,0.5445858870854298,3,3,0.7196438788528672,0.14288236427771
Q61646,Hp,0.4300000000000015,0.5514670039738142,2,2,0.7271111963416115,0.1383991678689365
P26043,Rdx,-0.2199999999999988,0.551110489245703,3,3,0.7271111963416115,0.1383991678689365
P26883,Fkbp1a,0.4149999999999991,0.5557007224344277,2,2,0.731601301578101,0.1357255305497976
