id,gene,log2FC,pval,n_group1,n_group2,group1,group2,padj,neglog10_padj
Q923W9,Adam33,0.1688543546819083,0.847740671631138,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q3L2,Pi4ka,-0.0482426453180906,0.8348906656031485,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9D4H1,Exoc2,0.0967360213485779,0.8464069594586525,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q63739,Ptp4a1,-0.0657163119847625,0.8540868713651727,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q62167,Ddx3x,-0.0401949786514226,0.8594265064152167,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BZY3,Ddx19b,-0.0978706453180908,0.8543999059111064,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9QY42,Gpr37,0.1104873546819105,0.8511083803241033,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q800,Immt,-0.0716699786514221,0.861309011100158,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q3TLP8,Rac1,0.063802021348577,0.8526988024600821,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8CH77,Nav1,-0.0792569786514221,0.8413235956650809,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q6P2B1-2,Tnpo3,0.1173793546819075,0.853083351708459,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9DBC0,Selo,-0.1654086453180894,0.8608983143384552,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8JZU2,Slc25a1,-0.1600106453180929,0.8474921839107329,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q91YL3,Uckl1,-0.190966311984758,0.8340454230318955,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
G3XA48,Idi1,0.0821203546819084,0.8344376075843088,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q922E4,Pcyt2,-0.0676463119847552,0.8571493397307118,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9CQP3,Chchd5,-0.1213959786514244,0.844113877874676,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8CHP8,Pgp,0.0852600213485708,0.8561289803485603,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BYZ1,Abi3,-0.1526113119847565,0.845730781921883,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P46096,Syt1,-0.0456956453180943,0.840548015945088,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
D3Z649,Kcnt2,0.1535266880152423,0.8531867979632878,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9Q7G0,Numa1,0.0577206880152454,0.8521021252211196,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q5SNZ0,Ccdc88a,-0.0368806453180878,0.8364574705129477,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9CQR6,Ppp6c,0.0357353546819094,0.8349984547620144,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9DBF1,Aldh7a1,-0.0717293119847575,0.8410503250069035,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9PZF0,Gm20390,0.0739690213485744,0.8418680205601556,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9QZI8,Serinc1,-0.1817166453180894,0.8385230846543541,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9D0L4,Adck1,-0.1017033119847576,0.8571448430208486,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P0C7M9,Clec2l,-0.1643276453180888,0.8543705364274046,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9CQ62,Decr1,0.051367688015242,0.8388831167523498,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8BG32,Psmd11,0.0175203546819098,0.8587109600098651,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9Z2D1,Mtmr2,0.1113390213485754,0.8501235616402848,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P62746,Rhob,-0.0673259786514233,0.8459257583209245,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
O35566,Cd151,0.0276986880152421,0.8597563860171271,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q61792,Lasp1,-0.0692239786514274,0.8374256423515687,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P21460,Cst3,0.0790523546819113,0.853558948226836,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P21995,Emb,0.0960636880152439,0.8445297283310278,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q7TSQ8,Pdpr,0.0295713546819094,0.8455681135395604,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9QUR6,Prep,0.0711143546819101,0.8462124637735202,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P57746,Atp6v1d,-0.0348133119847542,0.835629820360084,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q9Z1Z0,Uso1,-0.0161816453180909,0.843652709828806,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q91XX1,Pcdhgc3,-0.164243311984757,0.8357459462056259,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q7TPS5,C2cd5,0.0678913546819091,0.8436963904461641,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P62869,Tceb2,0.0682403546819117,0.8463480856498805,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
B9EJ80,Pdzd8,0.085390688015245,0.8444379320171289,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
E9PWB2,Csnk1a1,0.0683050213485803,0.8448216630266137,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q80ZJ1,Rap2a,0.0998630213485771,0.8485941974108154,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q3UWL8,Pfdn4,0.0904300213485775,0.8468671635458256,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P10630-2,Eif4a2,0.0127996880152423,0.8505579647283668,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P70441,Slc9a3r1,-0.0649999786514232,0.8471464549858796,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q8VDN2,Atp1a1,0.0365203546819099,0.8526658141560168,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
Q60738,Slc30a1,0.1512853546819101,0.8495604153647248,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
P62754,Rps6,-0.0525526453180908,0.8507330974277624,3,3,Microglia_5xFAD(AD),Microglia_WT(B6),0.9766618693920892,0.0102557675754444
